Number ,Isolate name,Sequence name,Alignment  name,Unique name,Tree name,Species,Sequenced by,Country,Country code,Location,Source group,Source three letter,Source,Isolate from ,Date,Year ,ST,CC,sp,mec,Class,Order,Family,Subfamily,Genus,Species,Reference,Source,Number in collection,ERR number,ERR.number.tips,ERR.number.tips.filtered
11,B304223 (tu1),612_88,612_88_LGA251,61288,61288_Turkey_5_5,Staphylococcus aureus,Fitzgerald,UK,GBR,Scotland,Birds,AVI,Turkey,,Unknown,Unknown,5,5,,,Aves,Galliformes,Phasianidae,Meleagridinae,Meleagris,gallopavo,"Murray S, et al. Recombination-Mediated Host Adaptation by Avian Staphylococcus aureus. Genome biology and evolution 9, 830-842 (2017).",,,ERR1801396,ERR1801396,ERR1801396
12,ASASM18,7229_3#10,7229_3#10_LGA251,7229310,7229310_Human_6_6,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2006,2006,6,6,,,Mammalia,Primates,Hominidae,,Homo,sapiens,This study ,,3,ERR109481,ERR109481,ERR109481
13,Z_16,973N0081,973N0081_LGA251,973N0081,973N0081_Goat_6_6,Staphylococcus aureus,Fitzgerald,Denmark,DNK,Copenhagen,Cows,CAP,Goat,Commensal,9/4/10,2010,6,6,t304,,Mammalia,Artiodactyla,Bovidae,Caprinae,Capra,aegagrus,"Espinosa-Gongora C, Chrobak D, Moodley A, Bertelsen MF, Guardabassi L. Occurrence and distribution of Staphylococcus aureus lineages among zoo animals. Veterinary microbiology 158, 228-231 (2012).",Jose Penades,1,PRJEB20741,973N0081,973N0081
14,ASASM49,7229_3#38,7229_3#38_LGA251,7229338,7229338_Human_7_7,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2006,2006,7,7,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,,ERR109509,ERR109509,ERR109509
15,4224,9061_8#71,9061_8#71_LGA251,9061871,9061871_Horse_8_8,Staphylococcus aureus,Holmes,England,GBR,Northamptonshire,Horses,EQU,Horse,Scirrous cord,5/26/05,2005,8,8,,mecA,Mammalia,Perissodactyla,Equidae,,Equus,ferus,Andrew Waller - Animal Health Trust,Andrew Waller,,ERR237614,ERR237614,ERR237614
16,BCVA289,7893_8#10,7893_8#10_LGA251,7893810,7893810_Human_8_8,Staphylococcus aureus,Holmes,UK,GBR,Southport,Human,HUM,Human,Nasal Swab,11/26/12,2012,8,8,t008,mecA,Mammalia,Primates,Hominidae,,Homo,sapiens,"Paterson GK, et al. Incidence and characterisation of methicillin-resistant Staphylococcus aureus (MRSA) from nasal colonisation in participants attending a cattle veterinary conference in the UK. PloS one 8, e68463 (2013)",,12,ERR156340,ERR156340,ERR156340
17,m-30-76,8490_7#93,8490_7#93_LGA251,8490793,8490793_Cow_8_8,Staphylococcus aureus,Holmes,UK,GBR,,Cows,BOV,Cow,Bulk milk,2012,2012,8,8,,neg,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,This study ,Holmes Group,,ERR211695,ERR211695,ERR211695
18,DS47,973N0026,973N0026_LGA251,973N0026,973N0026_Rabbit_8_8,Staphylococcus aureus,Fitzgerald,Belgium,BEL,,Rabbits,LEP,Rabbit,Clinical Isolate,2000,2000,8,8,,,Mammalia,Lagomorpha,Leporidae,,Oryctolagus,cuniculus,"Smyth DS, et al, Molecular genetic typing reveals further insights into the 
diversity of animal-associated Staphylococcus aureus. J Med Microbiol. 2009
Oct;58(Pt 10):1343-53.",D.Smyth,3,PRJEB20741,973N0026,973N0026
19,9715,973N0037,973N0037_LGA251,973N0037,973N0037_Chicken_8_8,Staphylococcus aureus,Fitzgerald,UK,GBR,England,Birds,AVI,Chicken,,Pre-1954,Pre-1954,8,8,,,Aves,Galliformes,Phasianidae,Phasianinae,Gallus,gallus,"Lowder BV, et al, Recent human-to-poultry host
jump, adaptation, and pandemic spread of Staphylococcus aureus. Proc Natl Acad
Sci U S A. 2009 Nov 17;106(46):19545-50.",,,PRJEB20741,973N0037,973N0037
20,m-MR-11S,8205_1#52,8205_1#52_LGA251,8205152,8205152_Cow_9_9,Staphylococcus aureus,Holmes,UK,GBR,,Cows,BOV,Cow,Milk,2012,2012,9,9,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,This study ,Holmes Group,4,ERR175899,ERR175899,ERR175899
21,10.5723.V,9061_8#23,9061_8#23_LGA251,9061823,9061823_Human_9_9,Staphylococcus aureus,Holmes,UK,GBR,,Human,HUM,Human,,8/14/10,2010,9,9,,,Mammalia,Primates,Hominidae,,Homo,sapiens,Health Protection Scotland - Scottish MRSA Reference Laboratory ,HPA Scotland,,ERR237566,ERR237566,ERR237566
22,B122,973N0084,973N0084_LGA251,973N0084,973N0084_Cow_9_9,Staphylococcus aureus,Fitzgerald,Ireland,IRL,,Cows,BOV,Cow,Mastitis,1998,1998,9,9,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Smith EM, et al, Multilocus sequence typing of intercontinental bovine
Staphylococcus aureus isolates. J Clin Microbiol. 2005 Sep;43(9):4737-43",,1,PRJEB20741,973N0084,973N0084
23,ASASM105,7229_4#84,7229_4#84_LGA251,7229484,7229484_Human_10_10,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2007,2007,10,10,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,,ERR109555,ERR109555,ERR109555
24,ASASM21,7229_3#12,7229_3#12_LGA251,7229312,7229312_Human_12_12,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2006,2006,12,12,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,1,ERR109483,ERR109483,ERR109483
25,9124626 S-1,0864N0092,0864N0092_LGA251,0864N0092,0864N0092_Human_12_12,Staphylococcus aureus,Fitzgerald,USA,USA,,Human,HUM,Human,Inguinal Colonisation,5/13/10,2010,12,12,,,Mammalia,Primates,Hominidae,,Homo,sapiens,RS Daum - The University of Chicago,RS Daum The University of Chicago,1,PRJEB20741,0864N0092,0864N0092
26,A-134,10900_2#63,10900_2#63_LGA251,10900263,10900263_Cow_12_12,Staphylococcus aureus,Holmes,Turkey,TUR,,Cows,BOV,Cow,Mastitis,,,12,12,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,Esra Buyukcangaz ,Holmes group,,ERR387230,ERR387230,ERR387230
27,08.3037.K,7068_5#23,7068_5#23_LGA251,7068523,7068523_Human_15_15,Staphylococcus aureus,Holmes,Scotland,GBR,Highland,Human,HUM,Human,Wound swab,3/13/08,2008,15,15,t084,,Mammalia,Primates,Hominidae,,Homo,sapiens," Ba X, et al. Novel mutations in penicillin-binding protein genes in clinical Staphylococcus aureus isolates that are methicillin resistant on susceptibility testing, but lack the mec gene. The Journal of antimicrobial chemotherapy 69, 594-597 (2014).",HPA Scotland,5,ERR084610,ERR084610,ERR084610
28,Z_21,973N0033,973N0033_LGA251,973N0033,973N0033_Mongoose_15_15,Staphylococcus aureus,Fitzgerald,Denmark,DNK,Copenhagen,Carnivore,OEZ,Mongoose,Commensal,3/18/10,2010,15,15,,,Mammalia,Carnivora,Herpestidae,,Mungos,mungo,"Espinosa-Gongora C, Chrobak D, Moodley A, Bertelsen MF, Guardabassi L. Occurrence and distribution of Staphylococcus aureus lineages among zoo animals. Veterinary microbiology 158, 228-231 (2012).",Jose Penades,5,PRJEB20741,973N0033,973N0033
29,B600535/04/1,973N0050,973N0050_LGA251,973N0050,973N0050_Pheasant_15_15,Staphylococcus aureus,Fitzgerald,UK,GBR,Scotland,Birds,AVI,Pheasant,,Unknown,Unknown,15,15,,,Aves,Galliformes,Phasianidae,Phasianinae,,,"Murray S, et al. Recombination-Mediated Host Adaptation by Avian Staphylococcus aureus. Genome biology and evolution 9, 830-842 (2017).",,,PRJEB20741,973N0050,973N0050
30,Z_5,973N0036,973N0036_LGA251,973N0036,973N0036_Bat_15_15,Staphylococcus aureus,Fitzgerald,Denmark,DNK,Copenhagen,Bat,BAT ,Bat,,18.03.2010,2010,15,15,,,Mammalia,Chiroptera,Pteropodidae,,Eidolon,helvum,"Espinosa-Gongora C, Chrobak D, Moodley A, Bertelsen MF, Guardabassi L. Occurrence and distribution of Staphylococcus aureus lineages among zoo animals. Veterinary microbiology 158, 228-231 (2012).",,,PRJEB20741,973N0036,973N0036
31,Z_23,973N0034,973N0034_LGA251,973N0034,973N0034_Horse_15_15,Staphylococcus aureus,Fitzgerald,Denmark,DNK,Copenhagen,Horses,EQU,Horse,,20.04.2010,2010,15,15,,,Mammalia,Perissodactyla,Equidae,,Equus,ferus,"Espinosa-Gongora C, Chrobak D, Moodley A, Bertelsen MF, Guardabassi L. Occurrence and distribution of Staphylococcus aureus lineages among zoo animals. Veterinary microbiology 158, 228-231 (2012).",,,PRJEB20741,973N0034,973N0034
32,Z_24,973N0006,973N0006_LGA251,973N0006,973N0006_GuineaPig_15_15,Staphylococcus aureus,Fitzgerald,Denmark,DNK,Copenhagen,Rodent,SLM,GuineaPig,,20.04.2010,2010,15,15,,,Mammalia,Rodentia,Caviidae,Caviinae,Cavia,porcellus,"Espinosa-Gongora C, Chrobak D, Moodley A, Bertelsen MF, Guardabassi L. Occurrence and distribution of Staphylococcus aureus lineages among zoo animals. Veterinary microbiology 158, 228-231 (2012).",,,PRJEB20741,973N0006,973N0006
33,ASASM19,7229_3#11,7229_3#11_LGA251,7229311,7229311_Human_20_20,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2006,2006,20,20,,,Mammalia,Primates,Hominidae,,Homo,sapiens,This study ,,2,ERR109482,ERR109482,ERR109482
34,DS37,973N0031,973N0031_LGA251,973N0031,973N0031_Cow_20_20,Staphylococcus aureus,Fitzgerald,Spain,ESP,,Cows,BOV,Cow,Mastitis,2009,2009,20,20,t843,mecA,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Smyth DS, et al. Molecular genetic typing reveals further insights into the diversity of animal-associated Staphylococcus aureus. Journal of medical microbiology 58, 1343-1353 (2009).",Cyril Smyth,1,PRJEB20741,973N0031,973N0031
35,10.4137.F,7068_5#17,7068_5#17_LGA251,7068517,7068517_Human_22_22,Staphylococcus aureus,Holmes,Scotland,GBR,Lothian,Human,HUM,Human,Nose swab,11/6/10,2010,22,22,,,Mammalia,Primates,Hominidae,,Homo,sapiens,Health Protection Scotland - Scottish MRSA Reference Laboratory ,HPA Scotland,75 +,ERR084604,ERR084604,ERR084604
36,DS30,973N0028,973N0028_LGA251,973N0028,973N0028_Goat_22_22,Staphylococcus aureus,Fitzgerald,Italy,ITA,,Cows,CAP,Goat,Milk,2002,2002,22,22,,,Mammalia,Artiodactyla,Bovidae,Caprinae,Capra,aegagrus,"Foschino R, Invernizzi A, Barucco R, Stradiotto K. Microbial composition, including the incidence of pathogens, of goat milk from the bergamo region of italy during a lactation year. The Journal of dairy research 69, 213-225 (2002).",Cyril Smyth,20,PRJEB20741,973N0028,973N0028
37,RVC1,7853_5#79,7853_5#79_LGA251,7853579,7853579_Dog_22_22,Staphylococcus aureus,Holmes,England,GBR,Hertfordshire,Carnivore,CPA,Dog,fluid left elbow,7/23/03,2003,22,22,,,Mammalia,Carnivora,Canidae,,Canis,lupus,"Harrison EM, et al. A shared population of epidemic methicillin-resistant Staphylococcus aureus 15 circulates in humans and companion animals. 5, e00985-00913 (2014).",Andrew Waller,,ERR144827,ERR144827,ERR144827
38,m37-55,8987_2#89,8987_2#89_LGA251,8987289,8987289_Cow_22_22,Staphylococcus aureus,Holmes,UK,GBR,Dorset,Cows,BOV,Cow,Bulk milk,2012,2012,22,22,,mecA,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,This study ,Holmes Group,,ERR234884,ERR234884,ERR234884
39,H104340410,7068_5#49,7068_5#49_LGA251,7068549,7068549_Human_25_25,Staphylococcus aureus,Holmes,England / Wales,GBR,,Human,HUM,Human,Wound,10/20/10,2010,25,25,,,Mammalia,Primates,Hominidae,,Homo,sapiens,This study ,HPA,3,ERR084636,ERR084636,ERR084636
40,DS27,973N0025,973N0025_LGA251,973N0025,973N0025_Goat_25_25,Staphylococcus aureus,Fitzgerald,Italy,ITA,,Cows,CAP,Goat,Milk,2002,2002,25,25,,,Mammalia,Artiodactyla,Bovidae,Caprinae,Capra,aegagrus,"Foschino R, Invernizzi A, Barucco R, Stradiotto K. Microbial composition, including the incidence of pathogens, of goat milk from the bergamo region of italy during a lactation year. The Journal of dairy research 69, 213-225 (2002).",Cyril Smyth,5,PRJEB20741,973N0025,973N0025
41,B500242/00/1,973N0073,973N0073_LGA251,973N0073,973N0073_Parrot_25_25,Staphylococcus aureus,Fitzgerald,USA,USA,,Birds,AVI,Parrot,,Unknown,Unknown,25,25,,,Aves,Psittaciformes,,,,,This study,,,PRJEB20741,973N0073,973N0073
42,CTH205,973N0007,973N0007_LGA251,973N0007,973N0007_Cow_25_25,Staphylococcus aureus,Fitzgerald,USA,USA,,Cows,BOV,Cow,,1987,1987,25,25,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Smith EM, et al,  Multilocus sequence typing of intercontinental bovine
Staphylococcus aureus isolates. J Clin Microbiol. 2005 Sep;43(9):4737-43.5",,,PRJEB20741,973N0007,973N0007
43,ASASM315,7396_2#77,7396_2#77_LGA251,7396277,7396277_Human_26_25,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2010,2010,26,25,,mecA,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,,ERR114916,ERR114916,ERR114916
44,7097,7853_5#76,7853_5#76_LGA251,7853576,7853576_Dog_30_30,Staphylococcus aureus,Holmes,England,GBR,Suffolk,Carnivore,CPA,Dog,femur implant,9/16/05,2005,30,30,,,Mammalia,Carnivora,Canidae,,Canis,lupus,"Harrison EM, et al. A shared population of epidemic methicillin-resistant Staphylococcus aureus 15 circulates in humans and companion animals. 5, e00985-00913 (2014).",Andrew Waller,6,ERR144824,ERR144824,ERR144824
45,GKP6751,9472_2#86,9472_2#86_LGA251,9472286,9472286_Cow_30_30,Staphylococcus aureus,Holmes,UK,GBR,,Cows,BOV,Cow,,,,30,30,,-,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,This study ,Holmes Group,,ERR294359,ERR294359,ERR294359
46,CTH136,973N0046,973N0046_LGA251,973N0046,973N0046_Cow_30_30,Staphylococcus aureus,Fitzgerald,USA,USA,,Cows,BOV,Cow,Milk,1987,1987,30,30,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Smith EM, et al. Multilocus sequence typing of intercontinental bovine Staphylococcus aureus isolates. Journal of clinical microbiology 43, 4737-4743 (2005).",Ed Smith,89,PRJEB20741,973N0046,973N0046
47,07.1973.G,07_1973_G,07_1973_G_LGA251,071973G,071973G_Unknown_30_30,Staphylococcus aureus,Fitzgerald,Scotland,GBR,,Unknown,UNK,Unknown,,2007,2007,30,30,,,,,,,,,"McAdam PR, Holmes A, Templeton KE, Fitzgerald JR. Adaptive evolution of Staphylococcus aureus during chronic endobronchial infection of a cystic fibrosis patient. PloS one 6, e24301 (2011).",,,PRJEB20741,07_1973_G,07_1973_G
48,5175,9061_8#70,9061_8#70_LGA251,9061870,9061870_Dog_34_30,Staphylococcus aureus,Holmes,England,GBR,Suffolk,Carnivore,CPA,Dog,,1/7/05,2005,34,30,,mecA,Mammalia,Carnivora,Canidae,,Canis,lupus,"Harrison EM, et al. A shared population of epidemic methicillin-resistant Staphylococcus aureus 15 circulates in humans and companion animals. 5, e00985-00913 (2014).",Andrew Waller,2,ERR237613,ERR237613,ERR237613
49,ASASM156,7229_5#34,7229_5#34_LGA251,7229534,7229534_Human_34_30,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2008,2008,34,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,This study ,,,ERR109601,ERR109601,ERR109601
50,HAR24,HAR24,HAR24_LGA251,HAR24,HAR24_Human_36_30,Staphylococcus aureus,Fitzgerald,England,GBR,,Human,HUM,,,,1993,36,30,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Robinson DA, Enright MC. Evolutionary models of the emergence of methicillin-resistant Staphylococcus aureus. Antimicrobial agents and chemotherapy 47, 3926-3934 (2003).",,,PRJEB20741,HAR24,HAR24
51,2350,9061_8#75,9061_8#75_LGA251,9061875,9061875_Horse_36_30,Staphylococcus aureus,Holmes,England,GBR,Worestershire,Horses,EQU,Horse,Right ear,3/23/05,2005,36,30,,,Mammalia,Perissodactyla,Equidae,,Equus,ferus,Andrew Waller - Animal Health Trust,Andrew Waller,2,ERR237618,ERR237618,ERR237618
52,GKP13373,9472_2#87,9472_2#87_LGA251,9472287,9472287_Cow_39_30,Staphylococcus aureus,Holmes,UK,GBR,,Cows,BOV,Cow,,,,39,30,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,This study ,Holmes Group,2,ERR294360,ERR294360,ERR294360
53,DS25,973N0023,973N0023_LGA251,973N0023,973N0023_Goat_39_30,Staphylococcus aureus,Fitzgerald,Italy,ITA,,Cows,CAP,Goat,Milk,2002,2002,39,30,,,Mammalia,Artiodactyla,Bovidae,Caprinae,Capra,aegagrus,"Foschino R, Invernizzi A, Barucco R, Stradiotto K. Microbial composition, including the incidence of pathogens, of goat milk from the bergamo region of italy during a lactation year. The Journal of dairy research 69, 213-225 (2002).",Cyril Smyth,1,PRJEB20741,973N0023,973N0023
54,09.4504.Z,7068_5#20,7068_5#20_LGA251,7068520,7068520_Human_45_45,Staphylococcus aureus,Holmes,Scotland,GBR,A&Arran,Human,HUM,Human,Sputum,5/22/09,2009,45,45,t133,,Mammalia,Primates,Hominidae,,Homo,sapiens,Health Protection Scotland - Scottish MRSA Reference Laboratory ,HPA Scotland,5,ERR084607,ERR084607,ERR084607
55,Z_22,973N0071,973N0071_LGA251,973N0071,973N0071_Horse_45_45,Staphylococcus aureus,Fitzgerald,Denmark,DNK,Copenhagen,Horses,EQU,Horse,Commensal,4/20/10,2010,45,45,,,Mammalia,Perissodactyla,Equidae,,Equus,ferus,"Espinosa-Gongora C, Chrobak D, Moodley A, Bertelsen MF, Guardabassi L. Occurrence and distribution of Staphylococcus aureus lineages among zoo animals. Veterinary microbiology 158, 228-231 (2012).",Jose Penades,5,PRJEB20741,973N0071,973N0071
56,B302368,973N0049,973N0049_LGA251,973N0049,973N0049_WildBird_45_45,Staphylococcus aureus,Fitzgerald,UK,GBR,Scotland,Birds,AVI,WildBird,,Unknown,Unknown,45,45,,,Aves,,,,,,This study,,,PRJEB20741,973N0049,973N0049
57,CTH211,973N0088,973N0088_LGA251,973N0088,973N0088_Cow_45_45,Staphylococcus aureus,Fitzgerald,USA,USA,,Cows,BOV,Cow,,1987,1987,45,45,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Smith EM, et al, Multilocus sequence typing of intercontinental bovine
Staphylococcus aureus isolates. J Clin Microbiol. 2005 Sep;43(9):4737-43",,,PRJEB20741,973N0088,973N0088
58,ASASM145,7229_5#24,7229_5#24_LGA251,7229524,7229524_Human_47_45,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2008,2008,47,45,,,Mammalia,Primates,Hominidae,,Homo,sapiens,This study ,,,ERR109591,ERR109591,ERR109591
59,22-M75-10-08,8014_4#52,8014_4#52_LGA251,8014452,8014452_Redsquirrel_49_49,Staphylococcus aureus,Holmes,England,GBR,Isle of Wight,Rodent,SLM,Redsquirrel,Skin (uppr lip),10/17/08,2009,49,49,,,Mammalia,Rodentia,Sciuridae,,Sciurus,vulgaris,"Simpson VR, et al. Mortality in red squirrels (Sciurus vulgaris) associated with exudative dermatitis. The Veterinary record 167, 59-63 (2010).",,25,ERR163406,ERR163406,ERR163406
60,IMD2002-10,973N0013,973N0013_LGA251,973N0013,973N0013_Pig_49_49,Staphylococcus aureus,Fitzgerald,Switzerland,CHE,,Pigs,POR,Pig,Commensal,2010,2010,49,49,,,Mammalia,Artiodactyla,Suidae,Suinae,Sus,scrofa domestica,"Overesch G, Buttner S, Rossano A, Perreten V. The increase of methicillin-resistant Staphylococcus aureus (MRSA) and the presence of an unusual sequence type ST49 in slaughter pigs in Switzerland. BMC veterinary research 7, 30 (2011).",Perreten,2,PRJEB20741,973N0013,973N0013
61,RV2007-03209-66,8205_1#5,8205_1#5,820515,820515_Cow_50_50,Staphylococcus aureus,Holmes,Netherlands,NLD,,Cows,BOV,Cow,Mastitis,2007,2007,50,50,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,Bertien Nabuurs ,Bertien Nabuurs ,4,ERR175852,ERR175852,ERR175852
62,CTH19,973N0090,973N0090_LGA251,973N0090,973N0090_Cow_50_50,Staphylococcus aureus,Fitzgerald,USA,USA,,Cows,BOV,Cow,Milk,1987,1987,50,50,,,Mammalia,Artiodactyla,Bovidae,Bovinae,Bos,taurus,"Smith EM, et al. Multilocus sequence typing of intercontinental bovine Staphylococcus aureus isolates. Journal of clinical microbiology 43, 4737-4743 (2005).",Ed Smith,1,PRJEB20741,973N0090,973N0090
63,ASASM261,7396_1#33,7396_1#33_LGA251,7396133,7396133_Human_51_121,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2009,2009,51,121,,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,,ERR114872,ERR114872,ERR114872
64,ASASM300,7396_2#66,7396_2#66_LGA251,7396266,7396266_Human_54_22,Staphylococcus aureus,Peacock,England,GBR,Cambridge,Human,HUM,Human,,2010,2010,54,22,t216,,Mammalia,Primates,Hominidae,,Homo,sapiens,"Warne B, et al. The Ess/Type VII secretion system of Staphylococcus aureus shows unexpected genetic diversity. BMC Genomics 17, 222 (2016).",,,ERR114905,ERR114905,ERR114905
65,07.7714.A,7068_5#22,7068_5#22_LGA251,7068522,7068522_Human_59_59,Staphylococcus aureus,Holmes,Scotland,GBR,GGHB,Human,HUM,Human,Blood,10/10/07,2007,59,59,t316,,Mammalia,Primates,Hominidae,,Homo,sapiens,Health Protection Scotland - Scottish MRSA Reference Laboratory ,HPA Scotland,3,ERR084609,ERR084609,ERR084609
66,00.10399.P,0864N0012,0864N0012_LGA251,0864N0012,0864N0012_Human_59_59,Staphylococcus aureus,Fitzgerald,Scotland,GBR,Tayside,Human,HUM,Human,Wound - Right leg,11/21/00,2000,59,59,,-,Mammalia,Primates,Hominidae,,Homo,sapiens,Health Protection Scotland - Scottish MRSA Reference Laboratory ,Scottish reference lab,85,ERS1043233,ERS1043233,ERS1043233
