ERR.number.tips.filtered,Human,Pigs,Cows,Goats,Birds,Rabbits,Sheep,Horses,Rodents,Carnivora,Bat,Marine,Unknown,Unclassified
ERR033619,8.243199239,4.243199239,3.243199239,2.243199239,1.243199239,1.243199239,1.243199239,1.243199239,1.243199239,1.243199239,1.243199239,1.243199239,1.243199239,1.243199239
ERR234884,8.194928328,4.194928328,3.194928328,2.194928328,1.194928328,1.194928328,1.194928328,1.194928328,1.194928328,1.194928328,1.194928328,1.194928328,1.194928328,1.194928328
ERR033605,8.374976248,4.374976248,3.374976248,2.374976248,1.374976248,1.374976248,1.374976248,1.374976248,1.374976248,1.374976248,1.374976248,1.374976248,1.374976248,1.374976248
ERR045842,15.75805819,1.758058191,1.758058191,2.758058191,2.758058191,2.758058191,2.758058191,2.758058191,2.758058191,2.758058191,2.758058191,2.758058191,2.758058191,2.758058191
ERR033623,15.74093417,1.74093417,1.74093417,2.74093417,2.74093417,2.74093417,2.74093417,2.74093417,2.74093417,2.74093417,2.74093417,2.74093417,2.74093417,2.74093417
ERR033465,8.277915184,4.277915184,3.277915184,2.277915184,1.277915184,1.277915184,1.277915184,1.277915184,1.277915184,1.277915184,1.277915184,1.277915184,1.277915184,1.277915184
ERR033473,8.035483246,4.035483246,3.035483246,2.035483246,1.035483246,1.035483246,1.035483246,1.035483246,1.035483246,1.035483246,1.035483246,1.035483246,1.035483246,1.035483246
ERR033475,8.270969077,4.270969077,3.270969077,2.270969077,1.270969077,1.270969077,1.270969077,1.270969077,1.270969077,1.270969077,1.270969077,1.270969077,1.270969077,1.270969077
ERR033486,8.385307254,4.385307254,3.385307254,2.385307254,1.385307254,1.385307254,1.385307254,1.385307254,1.385307254,1.385307254,1.385307254,1.385307254,1.385307254,1.385307254
ERR033648,8.1571276,4.1571276,3.1571276,2.1571276,1.1571276,1.1571276,1.1571276,1.1571276,1.1571276,1.1571276,1.1571276,1.1571276,1.1571276,1.1571276
ERR033488,8.956105783,4.956105783,3.956105783,2.956105783,1.956105783,1.956105783,1.956105783,1.956105783,1.956105783,1.956105783,1.956105783,1.956105783,1.956105783,1.956105783
ERR033477,8.399544678,4.399544678,3.399544678,2.399544678,1.399544678,1.399544678,1.399544678,1.399544678,1.399544678,1.399544678,1.399544678,1.399544678,1.399544678,1.399544678
ERR033476,8.247174222,4.247174222,3.247174222,2.247174222,1.247174222,1.247174222,1.247174222,1.247174222,1.247174222,1.247174222,1.247174222,1.247174222,1.247174222,1.247174222
ERR084604,8.112505929,4.112505929,3.112505929,2.112505929,1.112505929,1.112505929,1.112505929,1.112505929,1.112505929,1.112505929,1.112505929,1.112505929,1.112505929,1.112505929
ERR033512,8.33857407,4.33857407,3.33857407,2.33857407,1.33857407,1.33857407,1.33857407,1.33857407,1.33857407,1.33857407,1.33857407,1.33857407,1.33857407,1.33857407
ERR144827,8.808759286,4.808759286,3.808759286,2.808759286,1.808759286,1.808759286,1.808759286,1.808759286,1.808759286,1.808759286,1.808759286,1.808759286,1.808759286,1.808759286
ERR033645,8.18015226,4.18015226,3.18015226,2.18015226,1.18015226,1.18015226,1.18015226,1.18015226,1.18015226,1.18015226,1.18015226,1.18015226,1.18015226,1.18015226
ERR033466,8.253002364,4.253002364,3.253002364,2.253002364,1.253002364,1.253002364,1.253002364,1.253002364,1.253002364,1.253002364,1.253002364,1.253002364,1.253002364,1.253002364
ERR033621,8.381484035,4.381484035,3.381484035,2.381484035,1.381484035,1.381484035,1.381484035,1.381484035,1.381484035,1.381484035,1.381484035,1.381484035,1.381484035,1.381484035
ERR033622,8.468043395,4.468043395,3.468043395,2.468043395,1.468043395,1.468043395,1.468043395,1.468043395,1.468043395,1.468043395,1.468043395,1.468043395,1.468043395,1.468043395
ERR033514,8.37468381,4.37468381,3.37468381,2.37468381,1.37468381,1.37468381,1.37468381,1.37468381,1.37468381,1.37468381,1.37468381,1.37468381,1.37468381,1.37468381
ERR033583,8.488799015,4.488799015,3.488799015,2.488799015,1.488799015,1.488799015,1.488799015,1.488799015,1.488799015,1.488799015,1.488799015,1.488799015,1.488799015,1.488799015
ERR033608,15.81727561,1.817275614,1.817275614,2.817275614,2.817275614,2.817275614,2.817275614,2.817275614,2.817275614,2.817275614,2.817275614,2.817275614,2.817275614,2.817275614
ERR033625,8.058118061,4.058118061,3.058118061,2.058118061,1.058118061,1.058118061,1.058118061,1.058118061,1.058118061,1.058118061,1.058118061,1.058118061,1.058118061,1.058118061
ERR033553,8.188546773,4.188546773,3.188546773,2.188546773,1.188546773,1.188546773,1.188546773,1.188546773,1.188546773,1.188546773,1.188546773,1.188546773,1.188546773,1.188546773
ERR033511,15.21074462,1.210744621,1.210744621,2.210744621,2.210744621,2.210744621,2.210744621,2.210744621,2.210744621,2.210744621,2.210744621,2.210744621,2.210744621,2.210744621
ERR033555,15.52143433,1.521434328,1.521434328,2.521434328,2.521434328,2.521434328,2.521434328,2.521434328,2.521434328,2.521434328,2.521434328,2.521434328,2.521434328,2.521434328
ERR033519,8.469409926,4.469409926,3.469409926,2.469409926,1.469409926,1.469409926,1.469409926,1.469409926,1.469409926,1.469409926,1.469409926,1.469409926,1.469409926,1.469409926
ERR033518,8.183881198,4.183881198,3.183881198,2.183881198,1.183881198,1.183881198,1.183881198,1.183881198,1.183881198,1.183881198,1.183881198,1.183881198,1.183881198,1.183881198
ERR033618,8.658679212,4.658679212,3.658679212,2.658679212,1.658679212,1.658679212,1.658679212,1.658679212,1.658679212,1.658679212,1.658679212,1.658679212,1.658679212,1.658679212
ERR033620,8.389805499,4.389805499,3.389805499,2.389805499,1.389805499,1.389805499,1.389805499,1.389805499,1.389805499,1.389805499,1.389805499,1.389805499,1.389805499,1.389805499
ERR033624,8.455017448,4.455017448,3.455017448,2.455017448,1.455017448,1.455017448,1.455017448,1.455017448,1.455017448,1.455017448,1.455017448,1.455017448,1.455017448,1.455017448
ERR033607,8.030134429,4.030134429,3.030134429,2.030134429,1.030134429,1.030134429,1.030134429,1.030134429,1.030134429,1.030134429,1.030134429,1.030134429,1.030134429,1.030134429
ERR033354,8.101411267,4.101411267,3.101411267,2.101411267,1.101411267,1.101411267,1.101411267,1.101411267,1.101411267,1.101411267,1.101411267,1.101411267,1.101411267,1.101411267
ERR310930,8.950718398,4.950718398,3.950718398,2.950718398,1.950718398,1.950718398,1.950718398,1.950718398,1.950718398,1.950718398,1.950718398,1.950718398,1.950718398,1.950718398
612_65,8.008166029,4.008166029,3.008166029,2.008166029,1.008166029,1.008166029,1.008166029,1.008166029,1.008166029,1.008166029,1.008166029,1.008166029,1.008166029,1.008166029
0864N0025,15.98643227,1.986432268,1.986432268,2.986432268,2.986432268,2.986432268,2.986432268,2.986432268,2.986432268,2.986432268,2.986432268,2.986432268,2.986432268,2.986432268
0864N0026,8.226494924,4.226494924,3.226494924,2.226494924,1.226494924,1.226494924,1.226494924,1.226494924,1.226494924,1.226494924,1.226494924,1.226494924,1.226494924,1.226494924
0864N0024,8.680601482,4.680601482,3.680601482,2.680601482,1.680601482,1.680601482,1.680601482,1.680601482,1.680601482,1.680601482,1.680601482,1.680601482,1.680601482,1.680601482
ERR033595,8.505825315,4.505825315,3.505825315,2.505825315,1.505825315,1.505825315,1.505825315,1.505825315,1.505825315,1.505825315,1.505825315,1.505825315,1.505825315,1.505825315
ERR033567,8.645213401,4.645213401,3.645213401,2.645213401,1.645213401,1.645213401,1.645213401,1.645213401,1.645213401,1.645213401,1.645213401,1.645213401,1.645213401,1.645213401
ERR033644,8.405883336,4.405883336,3.405883336,2.405883336,1.405883336,1.405883336,1.405883336,1.405883336,1.405883336,1.405883336,1.405883336,1.405883336,1.405883336,1.405883336
ERR033609,8.86283071,4.86283071,3.86283071,2.86283071,1.86283071,1.86283071,1.86283071,1.86283071,1.86283071,1.86283071,1.86283071,1.86283071,1.86283071,1.86283071
ERR033340,15.52541467,1.525414668,1.525414668,2.525414668,2.525414668,2.525414668,2.525414668,2.525414668,2.525414668,2.525414668,2.525414668,2.525414668,2.525414668,2.525414668
1167N0022,8.292132789,4.292132789,3.292132789,2.292132789,1.292132789,1.292132789,1.292132789,1.292132789,1.292132789,1.292132789,1.292132789,1.292132789,1.292132789,1.292132789
1167N0020,15.52313743,1.523137432,1.523137432,2.523137432,2.523137432,2.523137432,2.523137432,2.523137432,2.523137432,2.523137432,2.523137432,2.523137432,2.523137432,2.523137432
973N0032,15.14156891,1.141568914,1.141568914,2.141568914,2.141568914,2.141568914,2.141568914,2.141568914,2.141568914,2.141568914,2.141568914,2.141568914,2.141568914,2.141568914
612_39,8.004698869,4.004698869,3.004698869,2.004698869,1.004698869,1.004698869,1.004698869,1.004698869,1.004698869,1.004698869,1.004698869,1.004698869,1.004698869,1.004698869
ERR033353,8.154005501,4.154005501,3.154005501,2.154005501,1.154005501,1.154005501,1.154005501,1.154005501,1.154005501,1.154005501,1.154005501,1.154005501,1.154005501,1.154005501
973N0025,8.381257263,4.381257263,3.381257263,2.381257263,1.381257263,1.381257263,1.381257263,1.381257263,1.381257263,1.381257263,1.381257263,1.381257263,1.381257263,1.381257263
ERR038671,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365,3.002454365
ERR084636,8.900923298,4.900923298,3.900923298,2.900923298,1.900923298,1.900923298,1.900923298,1.900923298,1.900923298,1.900923298,1.900923298,1.900923298,1.900923298,1.900923298
973N0089,8.229402719,4.229402719,3.229402719,2.229402719,1.229402719,1.229402719,1.229402719,1.229402719,1.229402719,1.229402719,1.229402719,1.229402719,1.229402719,1.229402719
973N0007,8.574048245,4.574048245,3.574048245,2.574048245,1.574048245,1.574048245,1.574048245,1.574048245,1.574048245,1.574048245,1.574048245,1.574048245,1.574048245,1.574048245
973N0073,15.71912437,1.71912437,1.71912437,2.71912437,2.71912437,2.71912437,2.71912437,2.71912437,2.71912437,2.71912437,2.71912437,2.71912437,2.71912437,2.71912437
ERR033334,8.078626858,4.078626858,3.078626858,2.078626858,1.078626858,1.078626858,1.078626858,1.078626858,1.078626858,1.078626858,1.078626858,1.078626858,1.078626858,1.078626858
ERR033308,8.184239428,4.184239428,3.184239428,2.184239428,1.184239428,1.184239428,1.184239428,1.184239428,1.184239428,1.184239428,1.184239428,1.184239428,1.184239428,1.184239428
ERR033379,15.01730994,1.017309943,1.017309943,2.017309943,2.017309943,2.017309943,2.017309943,2.017309943,2.017309943,2.017309943,2.017309943,2.017309943,2.017309943,2.017309943
ERR033713,15.09438719,1.094387192,1.094387192,2.094387192,2.094387192,2.094387192,2.094387192,2.094387192,2.094387192,2.094387192,2.094387192,2.094387192,2.094387192,2.094387192
612_63,8.15977718,4.15977718,3.15977718,2.15977718,1.15977718,1.15977718,1.15977718,1.15977718,1.15977718,1.15977718,1.15977718,1.15977718,1.15977718,1.15977718
ERR1801400,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763,3.11348763
ERR163418,15.05057505,1.050575047,1.050575047,2.050575047,2.050575047,2.050575047,2.050575047,2.050575047,2.050575047,2.050575047,2.050575047,2.050575047,2.050575047,2.050575047
ERR237566,8.334458009,4.334458009,3.334458009,2.334458009,1.334458009,1.334458009,1.334458009,1.334458009,1.334458009,1.334458009,1.334458009,1.334458009,1.334458009,1.334458009
ERR033561,8.844981578,4.844981578,3.844981578,2.844981578,1.844981578,1.844981578,1.844981578,1.844981578,1.844981578,1.844981578,1.844981578,1.844981578,1.844981578,1.844981578
ERR033463,8.21008247,4.21008247,3.21008247,2.21008247,1.21008247,1.21008247,1.21008247,1.21008247,1.21008247,1.21008247,1.21008247,1.21008247,1.21008247,1.21008247
973N0022,8.349150425,4.349150425,3.349150425,2.349150425,1.349150425,1.349150425,1.349150425,1.349150425,1.349150425,1.349150425,1.349150425,1.349150425,1.349150425,1.349150425
ERR175899,8.479538855,4.479538855,3.479538855,2.479538855,1.479538855,1.479538855,1.479538855,1.479538855,1.479538855,1.479538855,1.479538855,1.479538855,1.479538855,1.479538855
973N0084,8.635066893,4.635066893,3.635066893,2.635066893,1.635066893,1.635066893,1.635066893,1.635066893,1.635066893,1.635066893,1.635066893,1.635066893,1.635066893,1.635066893
973N0024,8.116539801,4.116539801,3.116539801,2.116539801,1.116539801,1.116539801,1.116539801,1.116539801,1.116539801,1.116539801,1.116539801,1.116539801,1.116539801,1.116539801
612_36,8.340216007,4.340216007,3.340216007,2.340216007,1.340216007,1.340216007,1.340216007,1.340216007,1.340216007,1.340216007,1.340216007,1.340216007,1.340216007,1.340216007
ERR039388,15.10891349,1.108913494,1.108913494,2.108913494,2.108913494,2.108913494,2.108913494,2.108913494,2.108913494,2.108913494,2.108913494,2.108913494,2.108913494,2.108913494
ERR033453,8.478989037,4.478989037,3.478989037,2.478989037,1.478989037,1.478989037,1.478989037,1.478989037,1.478989037,1.478989037,1.478989037,1.478989037,1.478989037,1.478989037
ERR033242,8.182712565,4.182712565,3.182712565,2.182712565,1.182712565,1.182712565,1.182712565,1.182712565,1.182712565,1.182712565,1.182712565,1.182712565,1.182712565,1.182712565
ERR038667,8.006504717,4.006504717,3.006504717,2.006504717,1.006504717,1.006504717,1.006504717,1.006504717,1.006504717,1.006504717,1.006504717,1.006504717,1.006504717,1.006504717
ERR033560,15.01792046,1.017920461,1.017920461,2.017920461,2.017920461,2.017920461,2.017920461,2.017920461,2.017920461,2.017920461,2.017920461,2.017920461,2.017920461,2.017920461
ERR033617,15.23604851,1.236048511,1.236048511,2.236048511,2.236048511,2.236048511,2.236048511,2.236048511,2.236048511,2.236048511,2.236048511,2.236048511,2.236048511,2.236048511
ERR033534,8.014477421,4.014477421,3.014477421,2.014477421,1.014477421,1.014477421,1.014477421,1.014477421,1.014477421,1.014477421,1.014477421,1.014477421,1.014477421,1.014477421
ERR033299,8.5531962,4.5531962,3.5531962,2.5531962,1.5531962,1.5531962,1.5531962,1.5531962,1.5531962,1.5531962,1.5531962,1.5531962,1.5531962,1.5531962
ERR033596,8.012895995,4.012895995,3.012895995,2.012895995,1.012895995,1.012895995,1.012895995,1.012895995,1.012895995,1.012895995,1.012895995,1.012895995,1.012895995,1.012895995
ERR033585,15.53204601,1.532046008,1.532046008,2.532046008,2.532046008,2.532046008,2.532046008,2.532046008,2.532046008,2.532046008,2.532046008,2.532046008,2.532046008,2.532046008
ERR033715,8.071803688,4.071803688,3.071803688,2.071803688,1.071803688,1.071803688,1.071803688,1.071803688,1.071803688,1.071803688,1.071803688,1.071803688,1.071803688,1.071803688
ERR033649,15.15963301,1.159633006,1.159633006,2.159633006,2.159633006,2.159633006,2.159633006,2.159633006,2.159633006,2.159633006,2.159633006,2.159633006,2.159633006,2.159633006
ERR033642,8.088802096,4.088802096,3.088802096,2.088802096,1.088802096,1.088802096,1.088802096,1.088802096,1.088802096,1.088802096,1.088802096,1.088802096,1.088802096,1.088802096
ERR033492,8.23933017,4.23933017,3.23933017,2.23933017,1.23933017,1.23933017,1.23933017,1.23933017,1.23933017,1.23933017,1.23933017,1.23933017,1.23933017,1.23933017
ERR033313,8.652713195,4.652713195,3.652713195,2.652713195,1.652713195,1.652713195,1.652713195,1.652713195,1.652713195,1.652713195,1.652713195,1.652713195,1.652713195,1.652713195
ERR033544,15.03240432,1.03240432,1.03240432,2.03240432,2.03240432,2.03240432,2.03240432,2.03240432,2.03240432,2.03240432,2.03240432,2.03240432,2.03240432,2.03240432
ERR038678,8.51345876,4.51345876,3.51345876,2.51345876,1.51345876,1.51345876,1.51345876,1.51345876,1.51345876,1.51345876,1.51345876,1.51345876,1.51345876,1.51345876
ERR033336,8.107391907,4.107391907,3.107391907,2.107391907,1.107391907,1.107391907,1.107391907,1.107391907,1.107391907,1.107391907,1.107391907,1.107391907,1.107391907,1.107391907
ERR033419,8.530476093,4.530476093,3.530476093,2.530476093,1.530476093,1.530476093,1.530476093,1.530476093,1.530476093,1.530476093,1.530476093,1.530476093,1.530476093,1.530476093
ERR033411,8.94382779,4.94382779,3.94382779,2.94382779,1.94382779,1.94382779,1.94382779,1.94382779,1.94382779,1.94382779,1.94382779,1.94382779,1.94382779,1.94382779
ERR033417,8.704964002,4.704964002,3.704964002,2.704964002,1.704964002,1.704964002,1.704964002,1.704964002,1.704964002,1.704964002,1.704964002,1.704964002,1.704964002,1.704964002
ERR033332,8.593444123,4.593444123,3.593444123,2.593444123,1.593444123,1.593444123,1.593444123,1.593444123,1.593444123,1.593444123,1.593444123,1.593444123,1.593444123,1.593444123
ERR033297,8.201554078,4.201554078,3.201554078,2.201554078,1.201554078,1.201554078,1.201554078,1.201554078,1.201554078,1.201554078,1.201554078,1.201554078,1.201554078,1.201554078
ERR033356,8.567887146,4.567887146,3.567887146,2.567887146,1.567887146,1.567887146,1.567887146,1.567887146,1.567887146,1.567887146,1.567887146,1.567887146,1.567887146,1.567887146
ERR033409,8.243290257,4.243290257,3.243290257,2.243290257,1.243290257,1.243290257,1.243290257,1.243290257,1.243290257,1.243290257,1.243290257,1.243290257,1.243290257,1.243290257
ERR033717,8.880065167,4.880065167,3.880065167,2.880065167,1.880065167,1.880065167,1.880065167,1.880065167,1.880065167,1.880065167,1.880065167,1.880065167,1.880065167,1.880065167
ERR033491,8.200023008,4.200023008,3.200023008,2.200023008,1.200023008,1.200023008,1.200023008,1.200023008,1.200023008,1.200023008,1.200023008,1.200023008,1.200023008,1.200023008
ERR033646,8.568636961,4.568636961,3.568636961,2.568636961,1.568636961,1.568636961,1.568636961,1.568636961,1.568636961,1.568636961,1.568636961,1.568636961,1.568636961,1.568636961
ERR033309,8.948565648,4.948565648,3.948565648,2.948565648,1.948565648,1.948565648,1.948565648,1.948565648,1.948565648,1.948565648,1.948565648,1.948565648,1.948565648,1.948565648
ERR033515,8.751666597,4.751666597,3.751666597,2.751666597,1.751666597,1.751666597,1.751666597,1.751666597,1.751666597,1.751666597,1.751666597,1.751666597,1.751666597,1.751666597
ERR033359,15.04363822,1.043638221,1.043638221,2.043638221,2.043638221,2.043638221,2.043638221,2.043638221,2.043638221,2.043638221,2.043638221,2.043638221,2.043638221,2.043638221
ERR033489,8.319514481,4.319514481,3.319514481,2.319514481,1.319514481,1.319514481,1.319514481,1.319514481,1.319514481,1.319514481,1.319514481,1.319514481,1.319514481,1.319514481
ERR387083,8.230058491,4.230058491,3.230058491,2.230058491,1.230058491,1.230058491,1.230058491,1.230058491,1.230058491,1.230058491,1.230058491,1.230058491,1.230058491,1.230058491
ERR033482,8.252966955,4.252966955,3.252966955,2.252966955,1.252966955,1.252966955,1.252966955,1.252966955,1.252966955,1.252966955,1.252966955,1.252966955,1.252966955,1.252966955
ERR033478,15.24761237,1.247612368,1.247612368,2.247612368,2.247612368,2.247612368,2.247612368,2.247612368,2.247612368,2.247612368,2.247612368,2.247612368,2.247612368,2.247612368
ERR033363,8.929331969,4.929331969,3.929331969,2.929331969,1.929331969,1.929331969,1.929331969,1.929331969,1.929331969,1.929331969,1.929331969,1.929331969,1.929331969,1.929331969
ERR033360,15.97039928,1.970399278,1.970399278,2.970399278,2.970399278,2.970399278,2.970399278,2.970399278,2.970399278,2.970399278,2.970399278,2.970399278,2.970399278,2.970399278
ERR033378,8.279667342,4.279667342,3.279667342,2.279667342,1.279667342,1.279667342,1.279667342,1.279667342,1.279667342,1.279667342,1.279667342,1.279667342,1.279667342,1.279667342
ERR033366,8.673450766,4.673450766,3.673450766,2.673450766,1.673450766,1.673450766,1.673450766,1.673450766,1.673450766,1.673450766,1.673450766,1.673450766,1.673450766,1.673450766
ERR033357,8.434074736,4.434074736,3.434074736,2.434074736,1.434074736,1.434074736,1.434074736,1.434074736,1.434074736,1.434074736,1.434074736,1.434074736,1.434074736,1.434074736
ERR033494,8.611538898,4.611538898,3.611538898,2.611538898,1.611538898,1.611538898,1.611538898,1.611538898,1.611538898,1.611538898,1.611538898,1.611538898,1.611538898,1.611538898
ERR033650,8.055400674,4.055400674,3.055400674,2.055400674,1.055400674,1.055400674,1.055400674,1.055400674,1.055400674,1.055400674,1.055400674,1.055400674,1.055400674,1.055400674
ERR033531,8.404324376,4.404324376,3.404324376,2.404324376,1.404324376,1.404324376,1.404324376,1.404324376,1.404324376,1.404324376,1.404324376,1.404324376,1.404324376,1.404324376
ERR033293,8.004992239,4.004992239,3.004992239,2.004992239,1.004992239,1.004992239,1.004992239,1.004992239,1.004992239,1.004992239,1.004992239,1.004992239,1.004992239,1.004992239
ERR033541,8.84966704,4.84966704,3.84966704,2.84966704,1.84966704,1.84966704,1.84966704,1.84966704,1.84966704,1.84966704,1.84966704,1.84966704,1.84966704,1.84966704
ERR033335,8.150145256,4.150145256,3.150145256,2.150145256,1.150145256,1.150145256,1.150145256,1.150145256,1.150145256,1.150145256,1.150145256,1.150145256,1.150145256,1.150145256
ERR033530,8.439909648,4.439909648,3.439909648,2.439909648,1.439909648,1.439909648,1.439909648,1.439909648,1.439909648,1.439909648,1.439909648,1.439909648,1.439909648,1.439909648
ERR038661,8.285099677,4.285099677,3.285099677,2.285099677,1.285099677,1.285099677,1.285099677,1.285099677,1.285099677,1.285099677,1.285099677,1.285099677,1.285099677,1.285099677
ERR234879,8.521140949,4.521140949,3.521140949,2.521140949,1.521140949,1.521140949,1.521140949,1.521140949,1.521140949,1.521140949,1.521140949,1.521140949,1.521140949,1.521140949
ERR038666,8.500517251,4.500517251,3.500517251,2.500517251,1.500517251,1.500517251,1.500517251,1.500517251,1.500517251,1.500517251,1.500517251,1.500517251,1.500517251,1.500517251
ERR033532,8.504305298,4.504305298,3.504305298,2.504305298,1.504305298,1.504305298,1.504305298,1.504305298,1.504305298,1.504305298,1.504305298,1.504305298,1.504305298,1.504305298
ERR033302,8.231202106,4.231202106,3.231202106,2.231202106,1.231202106,1.231202106,1.231202106,1.231202106,1.231202106,1.231202106,1.231202106,1.231202106,1.231202106,1.231202106
ERR033300,8.587472995,4.587472995,3.587472995,2.587472995,1.587472995,1.587472995,1.587472995,1.587472995,1.587472995,1.587472995,1.587472995,1.587472995,1.587472995,1.587472995
ERR033527,8.49874987,4.49874987,3.49874987,2.49874987,1.49874987,1.49874987,1.49874987,1.49874987,1.49874987,1.49874987,1.49874987,1.49874987,1.49874987,1.49874987
ERR033525,8.442035389,4.442035389,3.442035389,2.442035389,1.442035389,1.442035389,1.442035389,1.442035389,1.442035389,1.442035389,1.442035389,1.442035389,1.442035389,1.442035389
ERR033448,8.055981801,4.055981801,3.055981801,2.055981801,1.055981801,1.055981801,1.055981801,1.055981801,1.055981801,1.055981801,1.055981801,1.055981801,1.055981801,1.055981801
ERR033524,15.60532709,1.605327087,1.605327087,2.605327087,2.605327087,2.605327087,2.605327087,2.605327087,2.605327087,2.605327087,2.605327087,2.605327087,2.605327087,2.605327087
ERR033371,8.504344583,4.504344583,3.504344583,2.504344583,1.504344583,1.504344583,1.504344583,1.504344583,1.504344583,1.504344583,1.504344583,1.504344583,1.504344583,1.504344583
ERR033513,8.446804292,4.446804292,3.446804292,2.446804292,1.446804292,1.446804292,1.446804292,1.446804292,1.446804292,1.446804292,1.446804292,1.446804292,1.446804292,1.446804292
ERR033520,8.654963154,4.654963154,3.654963154,2.654963154,1.654963154,1.654963154,1.654963154,1.654963154,1.654963154,1.654963154,1.654963154,1.654963154,1.654963154,1.654963154
ERR033408,8.998128017,4.998128017,3.998128017,2.998128017,1.998128017,1.998128017,1.998128017,1.998128017,1.998128017,1.998128017,1.998128017,1.998128017,1.998128017,1.998128017
ERR033557,8.925601969,4.925601969,3.925601969,2.925601969,1.925601969,1.925601969,1.925601969,1.925601969,1.925601969,1.925601969,1.925601969,1.925601969,1.925601969,1.925601969
ERR033294,8.980817738,4.980817738,3.980817738,2.980817738,1.980817738,1.980817738,1.980817738,1.980817738,1.980817738,1.980817738,1.980817738,1.980817738,1.980817738,1.980817738
ERR033292,8.442424657,4.442424657,3.442424657,2.442424657,1.442424657,1.442424657,1.442424657,1.442424657,1.442424657,1.442424657,1.442424657,1.442424657,1.442424657,1.442424657
ERR033636,8.748488954,4.748488954,3.748488954,2.748488954,1.748488954,1.748488954,1.748488954,1.748488954,1.748488954,1.748488954,1.748488954,1.748488954,1.748488954,1.748488954
ERR039398,8.358089149,4.358089149,3.358089149,2.358089149,1.358089149,1.358089149,1.358089149,1.358089149,1.358089149,1.358089149,1.358089149,1.358089149,1.358089149,1.358089149
ERR033447,8.060047885,4.060047885,3.060047885,2.060047885,1.060047885,1.060047885,1.060047885,1.060047885,1.060047885,1.060047885,1.060047885,1.060047885,1.060047885,1.060047885
ERR033554,15.16439214,1.164392136,1.164392136,2.164392136,2.164392136,2.164392136,2.164392136,2.164392136,2.164392136,2.164392136,2.164392136,2.164392136,2.164392136,2.164392136
973N0070,8.075361387,4.075361387,3.075361387,2.075361387,1.075361387,1.075361387,1.075361387,1.075361387,1.075361387,1.075361387,1.075361387,1.075361387,1.075361387,1.075361387
ERR033352,8.142440416,4.142440416,3.142440416,2.142440416,1.142440416,1.142440416,1.142440416,1.142440416,1.142440416,1.142440416,1.142440416,1.142440416,1.142440416,1.142440416
ERR033522,15.29557647,1.295576469,1.295576469,2.295576469,2.295576469,2.295576469,2.295576469,2.295576469,2.295576469,2.295576469,2.295576469,2.295576469,2.295576469,2.295576469
